Recipe Name,Ingredients
Homestyle Rice Fry,"rice, spinach, sugar"
Delicious Carrot Curry,"carrot, water, mango, milk, spices, fish"
Tasty Maggi noodles Rice,"maggi noodles, sugar, chili"
Homestyle Noodles Fry,"noodles, peas, maggi noodles, bread"
Creamy Sugar Soup,"sugar, banana, cream, pepper, carrot, beans"
Quick Chicken Sandwich,"chicken, carrot, paneer"
Delicious Tomato Curry,"tomato, spices, spinach, wheat flour"
Quick Salt Sandwich,"salt, garlic, tomato, maggi noodles"
Delicious Corn flour Curry,"corn flour, water, tomato, salt, ginger"
Creamy Paneer Soup,"paneer, apple, chili, potato, salt"
Savory Peas Rolls,"peas, cumin, noodles, paneer, wheat flour, mango"
Corn flour & Yogurt Combo,"corn flour, yogurt, tomato, milk, onion, banana"
Spinach & Ginger Combo,"spinach, ginger, paneer, apple, tomato, bread"
Creamy Capsicum Soup,"capsicum, spinach, peas, onion, salt, beans"
Delicious Mango Curry,"mango, garlic, cabbage, banana"
Carrot & Fish Combo,"carrot, fish, pepper, mango, beans"
Delicious Yogurt Curry,"yogurt, peas, tomato, bread"
Baked Oil Delight,"oil, maggi noodles, peas, garlic, beans"
Maggi noodles & Eggs Combo,"maggi noodles, eggs, cabbage"
Homestyle Pepper Fry,"pepper, tomato, peas, noodles, spices"
Spicy Chicken Masala,"chicken, rice, noodles, oil"
Quick Apple Sandwich,"apple, noodles, chicken, peas, cabbage"
Paneer & Potato Combo,"paneer, potato, beans, tomato, mustard, cabbage"
Rice & Turmeric Combo,"rice, turmeric, corn flour"
Savory Potato Rolls,"potato, eggs, mango, salt"
Noodles & Sugar Combo,"noodles, sugar, mango"
Delicious Onion Curry,"onion, potato, peas, garlic, corn flour"
Homestyle Turmeric Fry,"turmeric, eggs, spices, sugar"
Quick Cabbage Sandwich,"cabbage, wheat flour, garlic, carrot, turmeric, banana"
Homestyle Fish Fry,"fish, eggs, yogurt, cheese, water"
Savory Mango Rolls,"mango, noodles, wheat flour"
Creamy Cumin Soup,"cumin, onion, potato"
Creamy Peas Soup,"peas, turmeric, capsicum"
Baked Bread Delight,"bread, oil, tomato, maggi noodles, water"
Stuffed Cabbage Paratha,"cabbage, cheese, cream, mango, salt"
Quick Cheese Sandwich,"cheese, ginger, onion"
Tasty Maggi noodles Rice,"maggi noodles, milk, salt"
Creamy Bread Soup,"bread, maggi noodles, carrot, noodles, salt, pepper"
Creamy Noodles Soup,"noodles, garlic, cream, mango"
Spicy Banana Masala,"banana, mustard, cabbage, pepper"
Spicy Cabbage Masala,"cabbage, wheat flour, spices"
Tasty Fish Rice,"fish, turmeric, yogurt"
Delicious Chicken Curry,"chicken, butter, garlic"
Milk & Garlic Combo,"milk, garlic, water, potato, mango"
Spicy Chicken Masala,"chicken, ginger, cabbage, cheese, milk, eggs"
Tasty Cream Rice,"cream, peas, bread, cheese, oil, mustard"
Paneer & Chili Combo,"paneer, chili, eggs, banana, spices"
Tasty Butter Rice,"butter, sugar, chili"
Spicy Wheat flour Masala,"wheat flour, mustard, fish, potato, oil, cumin"
Savory Milk Rolls,"milk, rice, chicken, maggi noodles, peas"
Creamy Capsicum Soup,"capsicum, cream, turmeric, mango, sugar"
Stuffed Chicken Paratha,"chicken, cream, potato, peas, milk, spices"
Creamy Tomato Soup,"tomato, carrot, apple, yogurt"
Quick Chicken Sandwich,"chicken, beans, oil, capsicum, salt, water"
Homestyle Corn flour Fry,"corn flour, salt, spices, peas"
Delicious Carrot Curry,"carrot, pepper, cumin, noodles, eggs"
Creamy Chicken Soup,"chicken, corn flour, capsicum"
Stuffed Cumin Paratha,"cumin, apple, sugar, corn flour, rice"
Stuffed Milk Paratha,"milk, salt, yogurt, paneer, water, rice"
Quick Corn flour Sandwich,"corn flour, pepper, banana, spinach, apple"
